"lot_name","customer","lot_description","quantity","price","procurement_method","status","url_to_details","lot_number","start_date","end_date","customer_bin","customer_name","ktru_code","ktru_name","brief_characteristics","additional_characteristics","funding_source","unit_price","unit_measurement","year1_amount","year2_amount","year3_amount","planned_amount","advance_payment_percentage","delivery_location_kato","kato","tru_delivery_period","incoterms","lot_url","sended_to"
"10406031-1 Работы по техническому обследованию объекту пункта участкового полиций в населленном пункте Караспан, Караспанского аулного округа, Ордабасинского района","ГУ «Отдел строительство, архитектура и градостроительства Ордабасинского района»","Работы по техническому обследованию объектов недвижимого имущества","1","40000.00","Из одного источника по несостоявшимся закупкам","Опубликован (прием заявок)","https://goszakup.gov.kz/ru/announce/index/10406031?tab=lots#","62270152-ОИ2","2023-07-24 15:18:06","2023-07-29 18:00:00","161040024744","Государственное учреждение «Отдел строительство, архитектура и градостроительства Ордабасинского района»","712019.000.000004","Работы по техническому обследованию объектов недвижимого имущества","Работы по техническому обследованию объектов недвижимого имущества","Работы по техническому обследованию объекту пункта участкового полиций в населленном пункте Караспан, Караспанского аулного округа, Ордабасинского района","За счет бюджетных средств, за исключением средств софинансирования по правительственным внешним займам или связанным грантам","40000","Работа","40 000.00","","","40000","0","614630100, Туркестанская область, Ордабасынский район, с.Темирлановка Количество, объем: 1","614630100","июль-декабрь","","https://goszakup.gov.kz/ru/announce/index/10406031?tab=lots#",""
"10406158-1 Приобретение художественной литературы","ГКП на ПХВ ""Школа-гимназия № 52 имени Беимбета Майлина"" акимата города Астаны","Книга","1","2803.57","Из одного источника по несостоявшимся закупкам","Опубликован (прием заявок)","https://goszakup.gov.kz/ru/announce/index/10406158?tab=lots#","58044604-ОИ2","2023-07-24 15:27:08","2023-07-29 18:00:00","060540005366","Государственное коммунальное предприятие на праве хозяйственного ведения ""Школа-гимназия № 52 имени Беимбета Майлина"" акимата города Астаны","172312.700.000031","Книга","печатная продукция","Мөлдір махаббат : роман / Сәбит Мұқанов","За счет бюджетных средств, за исключением средств софинансирования по правительственным внешним займам или связанным грантам","2803.57","Штука","2 803.57","","","2803.57","0","711110000, г.Астана, район Алматы г Астана ул Бурабай38Количество, объем: 1","711110000","Со дня вступления в силу Договора в течение 15 календарных дней, по заявке заказчика","DDP, термин употребляется с указанием места прибытия. Он означает, что ответственность продавца заканчивается после того, как товар доставлен в указанное место в стране покупателя. Все риски, все расходы по доставке груза (налоги, пошлины","https://goszakup.gov.kz/ru/announce/index/10406158?tab=lots#",""
"10406106-1 Работы по разработке/корректировке нормативной/технической документации/ технологических схем/паспортов","ТОО ""Сатпаевское предприятие тепловодоснабжения""","Работы по разработке/корректировке нормативной/технической документации/ технологических схем/паспортов","1","2252000.00","Запрос ценовых предложений","Опубликован","https://goszakup.gov.kz/ru/announce/index/10406106?tab=lots#","62188877-ЗЦП1","2023-07-24 15:28:32","2023-07-31 15:28:38","151140024499","Товарищество с ограниченной ответственностью ""Сатпаевское предприятие тепловодоснабжения""","749019.000.000000","Работы по разработке/корректировке нормативной/технической документации/ технологических схем/паспортов","Работы по разработке/корректировке нормативной/технической документации/ технологических схем/паспортов и аналогичных документов","Согласно технической спецификации","","2252000","Работа","2 252 000.00","","","2252000","0","622010000, область Ұлытау, г.Сатпаев область Ұлытау, г.Сатпаев г.Сатпаев ул. Улытауская, ПРОМЗОНА, склады ТОО ""СПТВС"";
Количество, объем: 1","622010000","до 30.11.2023г","","https://goszakup.gov.kz/ru/announce/index/10406106?tab=lots#",""
"10406059-1 3 стенда: С изображением флага , герба ,и текстом гимна Республики Казахстан","Государственное учреждение ""Аппарат акима Караозекского сельского округа Буландынского района""","Работы по изготовлению стендов/табличек/надписей","1","30000.00","Запрос ценовых предложений","Опубликован (прием ценовых предложений)","https://goszakup.gov.kz/ru/announce/index/10406059?tab=lots#","61952920-ЗЦП4","2023-07-24 15:26:55","2023-07-31 15:28:24","030140003974","Государственное учреждение ""Аппарат акима Караозекского сельского округа Буландынского района""","829919.000.000000","Работы по изготовлению стендов/табличек/надписей","Работы по изготовлению стендов/табличек/надписей и аналогичных изделий информационного/предупредительного/эвакуционного и другого назначения","3 стенда: С изображением флага , герба ,и текстом гимна Республики Казахстан","За счет бюджетных средств, за исключением средств софинансирования по правительственным внешним займам или связанным грантам","30000","Работа","30 000.00","","","30000","0","114055100, Акмолинская область, Буландынский район, с.Караозек Количество, объем: 1","114055100","в течении 15 рабочих дней со дня подписания договора","","https://goszakup.gov.kz/ru/announce/index/10406059?tab=lots#",""
"10406027-1 Работы по текущему ремонту лестничных маршев школы","ГКП на ПХВ «Школа- гимназия № 26» акимата города Астаны.","Работы по ремонту нежилых зданий/сооружений/помещений","1","2182234.00","Запрос ценовых предложений","Опубликован","https://goszakup.gov.kz/ru/announce/index/10406027?tab=lots#","62340601-ЗЦП1","2023-07-24 15:45:00","2023-07-31 15:45:00","751240000014","Государственное коммунальное предприятие на праве хозяйственного ведения «Школа- гимназия № 26» акимата города Астаны.","410040.300.000001","Работы по ремонту нежилых зданий/сооружений/помещений","Работы по ремонту нежилых зданий/сооружений/помещений","Работы по текущему ремонтулестничных маршев школы","","2182234","Работа","2 182 234.00","","","2182234","0","711310000, г.Астана, район Сарыарка КАЗАХСТАН, г.Астана, район Сарыарка, Конституции 24Количество, объем: 1","711310000","Со дня вступления  в силу договора  в течении 20  календарных  дней","","https://goszakup.gov.kz/ru/announce/index/10406027?tab=lots#",""
"10406158-1 Приобретение художественной литературы","ГКП на ПХВ ""Школа-гимназия № 52 имени Беимбета Майлина"" акимата города Астаны","Книга","1","2991.07","Из одного источника по несостоявшимся закупкам","Опубликован (прием заявок)","https://goszakup.gov.kz/ru/announce/index/10406158?tab=lots#","58047804-ОИ2","2023-07-24 15:27:08","2023-07-29 18:00:00","060540005366","Государственное коммунальное предприятие на праве хозяйственного ведения ""Школа-гимназия № 52 имени Беимбета Майлина"" акимата города Астаны","172312.700.000031","Книга","печатная продукция","Махаббат, қызық мол жылдар : роман / Әзілхан Нұршайықов. (В твердом)","За счет бюджетных средств, за исключением средств софинансирования по правительственным внешним займам или связанным грантам","2991.07","Штука","2 991.07","","","2991.07","0","711110000, г.Астана, район Алматы г Астана ул Бурабай38Количество, объем: 1","711110000","Со дня вступления в силу Договора в течение 15 календарных дней, по заявке заказчика","DDP, термин употребляется с указанием места прибытия. Он означает, что ответственность продавца заканчивается после того, как товар доставлен в указанное место в стране покупателя. Все риски, все расходы по доставке груза (налоги, пошлины","https://goszakup.gov.kz/ru/announce/index/10406158?tab=lots#",""
"10406073-1 Проведение обязательного медицинского профосмотра работников","Филиал РГП на ПХВ ""Национальный центр экспертизы"" КСЭК МЗ РК по Северо-Казахстанской области","Услуги по предсменному (предрейсовому)/ послесменному (послерейсовому) медицинскому осмотру персонала","1","154725.00","Запрос ценовых предложений","Опубликован","https://goszakup.gov.kz/ru/announce/index/10406073?tab=lots#","59041954-ЗЦП4","2023-07-24 15:32:34","2023-07-31 15:32:36","150741015800","Филиал Республиканского государственного предприятия на праве хозяйственного ведения ""Национальный центр экспертизы"" Комитета санитарно-эпидемиологического контроля Министерства здравоохранения Республики Казахстан по Северо-Казахстанской области","841212.000.000005","Услуги по предсменному (предрейсовому)/ послесменному (послерейсовому) медицинскому осмотру персонала","Услуги по предсменному (предрейсовому)/ послесменному (послерейсовому) медицинскому осмотру персонала","Проведение обязательного медицинского профосмотра работников  (Есильский р-н) (15)","","154725","Одна услуга","154 725.00","","","154725","0","594230100, Северо-Казахстанская область, Есильский район, с.Явленка Северо – Казахстанская область, Есильский район, с. Явленка, пр. Гагарина, д. 2.Количество, объем: 1","594230100","По заявке Заказчика, но не менее пятнадцати календарных дней","","https://goszakup.gov.kz/ru/announce/index/10406073?tab=lots#",""
"10406085-1 Дюбель шуруп (6-40, 6-60, 6-80)","РГУ ""Западно-Казахстанский межрегиональный департамент геологии Комитета геологии Министерства индустрии и инфраструктурного развития Республики Казахстан ""Запказнедра""","Дюбель","30","1500.00","Из одного источника по несостоявшимся закупкам","Опубликован (прием заявок)","https://goszakup.gov.kz/ru/announce/index/10406085?tab=lots#","61611562-ОИ2","2023-07-24 15:20:49","2023-07-29 18:00:00","920940000251","Республиканское государственное учреждение ""Западно-Казахстанский межрегиональный департамент геологии Комитета геологии Министерства индустрии и инфраструктурного развития Республики Казахстан ""Запказнедра""","222319.990.000022","Дюбель","полипропиленовый","Дюбель шуруп 
6/40
6/60
6/80","За счет бюджетных средств, за исключением средств софинансирования по правительственным внешним займам или связанным грантам","50","Штука","1 500.00","","","1500","0","151011100, Актюбинская область, г.Актобе, район Астана улица Ш.Калдаякова, 5БКоличество, объем: 30","151011100","в течении 16 календарных дней со дня подписания договора","DDP, термин употребляется с указанием места прибытия. Он означает, что ответственность продавца заканчивается после того, как товар доставлен в указанное место в стране покупателя. Все риски, все расходы по доставке груза (налоги, пошлины","https://goszakup.gov.kz/ru/announce/index/10406085?tab=lots#",""
"10406025-1 Известь  -  для побелки стен и деревьев, негашёная.","РГУ ""Отдел военной полиции (2-разряда) Ушаральского гарнизона"" МО РК","Известь","800","128576.00","Запрос ценовых предложений","Опубликован","https://goszakup.gov.kz/ru/announce/index/10406025?tab=lots#","62308344-ЗЦП1","2023-07-25 15:16:56","2023-08-01 15:16:59","050340009687","Республиканское государственное учреждение ""Отдел военной полиции (2-разряда) Ушаральского гарнизона"" Министерства обороны Республики Казахстан","235210.330.000000","Известь","негашеная, 1 сорт, комовая, кальциевая, быстрогасящаяся","Известь строительная, воздушная, кальциевая, негашеная, комовая, быстрогасящаяся 1 сорта","За счет бюджетных средств, за исключением средств софинансирования по правительственным внешним займам или связанным грантам","160.72","Килограмм","128 576.00","","","128576","0","333400000, область Жетісу, Алакольский район г.Ушарал №2 военный городок дом 119Количество, объем: 800","333400000","со дня подписания договора до 25 августа  2023 года","DDP, термин употребляется с указанием места прибытия. Он означает, что ответственность продавца заканчивается после того, как товар доставлен в указанное место в стране покупателя. Все риски, все расходы по доставке груза (налоги, пошлины","https://goszakup.gov.kz/ru/announce/index/10406025?tab=lots#",""
"10406156-1 компьютерная мышь (шнур 2 метра)","ТОО ""Шахтинскводоканал""","Манипулятор ""мышь""","1","2000.00","Запрос ценовых предложений","Опубликован","https://goszakup.gov.kz/ru/announce/index/10406156?tab=lots#","62339871-ЗЦП1","2023-07-24 15:29:49","2023-07-31 15:29:52","130640005484","Товарищество с ограниченной ответственностью ""Шахтинскводоканал""","262016.930.000001","Манипулятор ""мышь""","оптическая, проводная","компьютерная мышь (шнур 2 метра)","","2000","Штука","2 000.00","","","2000","0","352810000, Карагандинская область, г.Шахтинск коммунальная 21Количество, объем: 1","352810000","по заявке Заказчика","DDP, термин употребляется с указанием места прибытия. Он означает, что ответственность продавца заканчивается после того, как товар доставлен в указанное место в стране покупателя. Все риски, все расходы по доставке груза (налоги, пошлины","https://goszakup.gov.kz/ru/announce/index/10406156?tab=lots#",""
"10406099-1 леска д 0,40 прочность 14,5 кг","ТОО ""Шахтинскводоканал""","Леска","100","250000.00","Запрос ценовых предложений","Опубликован (прием ценовых предложений)","https://goszakup.gov.kz/ru/announce/index/10406099?tab=lots#","62339851-ЗЦП1","2023-07-24 15:25:26","2023-07-31 15:26:30","130640005484","Товарищество с ограниченной ответственностью ""Шахтинскводоканал""","323016.300.000004","Леска","рыболовная","леска д0,40 прочность 14,5 кг","","2500","Штука","250 000.00","","","250000","0","352810000, Карагандинская область, г.Шахтинск коммунальная 21Количество, объем: 100","352810000","по заявке Заказчика","DDP, термин употребляется с указанием места прибытия. Он означает, что ответственность продавца заканчивается после того, как товар доставлен в указанное место в стране покупателя. Все риски, все расходы по доставке груза (налоги, пошлины","https://goszakup.gov.kz/ru/announce/index/10406099?tab=lots#",""
"10406083-1 Приобретение бензин АИ 92","Коммунальное государственное учреждение ""Областная специализированная детско-юношеская школа олимпийского резерва №1"" управления физической культуры и спорта Акмолинской области","Бензин для двигателей с искровым зажиганием","1050","192181.50","Из одного источника по несостоявшимся закупкам","Опубликован","https://goszakup.gov.kz/ru/announce/index/10406083?tab=lots#","57330530-ОИ3","2023-07-24 15:50:41","2023-07-29 15:50:41","941140000586","Коммунальное государственное учреждение ""Областная специализированная детско-юношеская школа олимпийского резерва №1"" управления физической культуры и спорта Акмолинской области","192021.530.000001","Бензин для двигателей с искровым зажиганием","марка АИ-92","Бензин  АИ 92 для служебной машины ВАЗ 21070 (талонами номиналом 5 ,10,20 литров или картами)  с продлением на 1 квартал 2024 года","За счет бюджетных средств, за исключением средств софинансирования по правительственным внешним займам или связанным грантам","183.03","Литр (куб. дм.)","192 181.50","","","192181.5","0","111010000, Акмолинская область, г.Кокшетау Количество, объем: 1050","111010000","июль","DDP, термин употребляется с указанием места прибытия. Он означает, что ответственность продавца заканчивается после того, как товар доставлен в указанное место в стране покупателя. Все риски, все расходы по доставке груза (налоги, пошлины","https://goszakup.gov.kz/ru/announce/index/10406083?tab=lots#",""
"10406002-1 Техническая поддержка и сопровождение конфигурации МЕКЕМЕ: Бюджетное планирование и финансирование.","ГУ ""Казыгуртский районный отдел занятости и социальных программ""","Услуги по сопровождению и технической поддержке информационной системы","1","655000.00","Запрос ценовых предложений","Опубликован","https://goszakup.gov.kz/ru/announce/index/10406002?tab=lots#","62044858-ЗЦП1","2023-07-24 15:35:00","2023-07-31 15:35:00","050240010230","Государственное учреждение ""Казыгуртский районный отдел занятости и социальных программ""","620230.000.000001","Услуги по сопровождению и технической поддержке информационной системы","Услуги по сопровождению и технической поддержке информационной системы","Техническая поддержка и сопровождение конфигурации МЕКЕМЕ: Бюджетное планирование и финансирование.","За счет бюджетных средств, за исключением средств софинансирования по правительственным внешним займам или связанным грантам","655000","Одна услуга","655 000.00","","","655000","0","614030100, Туркестанская область, Казыгуртский район, с.Казыгурт Конаев 88Количество, объем: 1","614030100","до 31 декабря 2023 года","","https://goszakup.gov.kz/ru/announce/index/10406002?tab=lots#",""
"10406157-1 Приобретение автомобильных запасных частей для ремонта и технического обслуживания имеющегося у заказчика товара в/ч 6505","РГУ ""Региональное командование ""Орталық"" -воинская часть 6800"" Национальной гвардии Республики Казахстан""","Диск тормозной","2","28000.00","Из одного источника по несостоявшимся закупкам","Опубликован (прием заявок)","https://goszakup.gov.kz/ru/announce/index/10406157?tab=lots#","62260240-ОИ2","2023-07-24 15:25:50","2023-07-29 18:00:00","970840002749","Республиканское государственное учреждение ""Региональное командование ""Орталық"" -воинская часть 6800"" Национальной гвардии Республики Казахстан""","293230.250.000020","Диск тормозной","для грузового автомобиля","Вентилируемый тормозной диск задний, диаметр 28 см. крепежных отверстий 5 толщина 2.4 см, Renault Daster 2016 года выпуска VIN X7LHSRHGN55069806","За счет бюджетных средств, за исключением средств софинансирования по правительственным внешним займам или связанным грантам","14000","Штука","28 000.00","0","0","28000","0","351010000, Карагандинская область, г.Караганда Карагандинская область, г.Караганда  ул. Сатпаева 93/2, вч 6505;Количество, объем: 2","351010000","15 рабочих дней, со дня следующего за днем регистрации договора в органах Казначейства","DDP, термин употребляется с указанием места прибытия. Он означает, что ответственность продавца заканчивается после того, как товар доставлен в указанное место в стране покупателя. Все риски, все расходы по доставке груза (налоги, пошлины","https://goszakup.gov.kz/ru/announce/index/10406157?tab=lots#",""
"10406097-1 Вкладыши шатунные, коренные, Бендикс для стартера","Государственное коммунальное предприятие на праве хозяйственного ведения ""Астана су арнасы"" акимата города Нур-Султан","Шестерня стартера","1","5861.61","Запрос ценовых предложений","Опубликован (прием ценовых предложений)","https://goszakup.gov.kz/ru/announce/index/10406097?tab=lots#","61745506-ЗЦП2","2023-07-24 15:25:00","2023-07-31 15:25:00","000940002622","Государственное коммунальное предприятие на праве хозяйственного ведения ""Астана су арнасы"" акимата города Нур-Султан","293122.700.000011","Вкладыш шатунный","для легкового автомобиля","Вкладыши шатунные ДВС Ларгус 0.00 дв ВАЗ","","2897.32","Комплект","2 897.32","","","2897.32","0","711410000, г.Астана, район Байқоңыр Пр. Абая 103Количество, объем: 1","711410000","15 календарных дней после заключения договора","DDP, термин употребляется с указанием места прибытия. Он означает, что ответственность продавца заканчивается после того, как товар доставлен в указанное место в стране покупателя. Все риски, все расходы по доставке груза (налоги, пошлины","https://goszakup.gov.kz/ru/announce/index/10406097?tab=lots#",""
"10406082-1 Услуги по вывозу, демеркуризации ртутьсодержащих ламп","Коммунальное государственное учреждение ""Школа-гимназия № 188"" Управления образования города Алматы","Услуги по удалению неопасных отходов/имущества/материалов","1","357142.86","Запрос ценовых предложений","Опубликован (прием ценовых предложений)","https://goszakup.gov.kz/ru/announce/index/10406082?tab=lots#","58794611-ЗЦП1","2023-07-24 15:20:51","2023-07-31 15:21:53","660940000028","Коммунальное государственное учреждение ""Школа-гимназия № 188"" Управления образования города Алматы","382129.000.000000","Услуги по удалению неопасных отходов/имущества/материалов","Услуги по удалению неопасных отходов/имущества/материалов (захоронение/сжигание/утилизация и аналогичные услуги)","утилизация ламп","За счет бюджетных средств, за исключением средств софинансирования по правительственным внешним займам или связанным грантам","357142.86","Одна услуга","357 142.86","","","357142.86","0","751810000, г.Алматы, Наурызбайский район г.Алматы, Наурызбайский район мкр Таусамалы ул.Жандосова 4Количество, объем: 1","751810000","октябрь","","https://goszakup.gov.kz/ru/announce/index/10406082?tab=lots#",""
"10406012-1 Текущий ремонт колодцев и трубы в котельной КГУ ""Казахская средняя школа имени Алихана Бокейхана"" отдела образования Бородулихинского района","Коммунальное государственное учреждение ""Казахская средняя школа имени Алихана Бокейхана"" отдела образования Бородулихинского района управления образования области Абай","Работы по ремонту/реконструкции отдельных элементов нежилых зданий/сооружений/помещений","1","1611776.79","Запрос ценовых предложений","Опубликован","https://goszakup.gov.kz/ru/announce/index/10406012?tab=lots#","62016897-ЗЦП3","2023-07-25 15:17:21","2023-08-01 15:17:26","010740001728","Коммунальное государственное учреждение ""Казахская средняя школа имени Алихана Бокейхана"" отдела образования Бородулихинского района управления образования области Абай","410040.300.000004","Работы по ремонту/реконструкции отдельных элементов нежилых зданий/сооружений/помещений","Работы по ремонту/реконструкции отдельных элементов нежилых зданий/сооружений/помещений","Текущий ремонт колодцев и трубы в котельной КГУ ""Казахская средняя школа имени Алихана Бокейхана"" отдела образования Бородулихинского района","За счет бюджетных средств, за исключением средств софинансирования по правительственным внешним займам или связанным грантам","1611776.79","Работа","1 611 776.79","","","1611776.79","0","104030100, область Абай, Бородулихинский район, с.Бородулиха Количество, объем: 1","104030100","июль-август","","https://goszakup.gov.kz/ru/announce/index/10406012?tab=lots#",""
"10406149-1 Услуги по техническому контролю (осмотру) дорожных транспортных средств(Кызылорда)","Республиканское государственное казенное предприятие ""Производственное объединение ""Охотзоопром"" Комитета лесного хозяйства и животного мира Министерства экологии и природных ресурсов Республики Казахстан""","Услуги по техническому контролю (осмотру) дорожных транспортных средств (Кызылорда)","2","91071.42","Запрос ценовых предложений","Опубликован","https://goszakup.gov.kz/ru/announce/index/10406149?tab=lots#","62316804","2023-07-24 15:43:30","2023-07-31 15:44:34","930340000221","Республиканское государственное казенное предприятие ""Производственное объединение ""Охотзоопром"" Комитета лесного хозяйства и животного мира Министерства экологии и природных ресурсов Республики Казахстан""","712014.000.000000","Услуги по техническому контролю (осмотру) дорожных транспортных средств","Услуги по техническому контролю (осмотру) дорожных транспортных средств","Кызылорда легковые","","64285.71","Одна услуга","64 285.71","","","64285.71","0","751910000, г.Алматы, Турксибский район ул. В.Бартольда, 157ВКоличество, объем: 1","751910000","В соответствии со сроками указанными в технической спецификации","","https://goszakup.gov.kz/ru/announce/index/10406149?tab=lots#",""
"10406097-1 Вкладыши шатунные, коренные, Бендикс для стартера","Государственное коммунальное предприятие на праве хозяйственного ведения ""Астана су арнасы"" акимата города Нур-Султан","Шестерня стартера","1","5861.61","Запрос ценовых предложений","Опубликован (прием ценовых предложений)","https://goszakup.gov.kz/ru/announce/index/10406097?tab=lots#","61745528-ЗЦП2","2023-07-24 15:25:00","2023-07-31 15:25:00","000940002622","Государственное коммунальное предприятие на праве хозяйственного ведения ""Астана су арнасы"" акимата города Нур-Султан","281141.500.000081","Вкладыш коренной","для легкового автомобиля","Вкладыши коренные ДВС-ВАЗ Ларгус 0.00","","4758.93","Комплект","4 758.93","","","4758.93","0","711410000, г.Астана, район Байқоңыр Пр. Абая 103Количество, объем: 1","711410000","15 календарных дней после заключения договора","DDP, термин употребляется с указанием места прибытия. Он означает, что ответственность продавца заканчивается после того, как товар доставлен в указанное место в стране покупателя. Все риски, все расходы по доставке груза (налоги, пошлины","https://goszakup.gov.kz/ru/announce/index/10406097?tab=lots#",""
"10406076-1 Приобретение хозяйственные товары","Республиканское государственное учреждение ""Комитет по водным ресурсам Министерства экологии, геологии и природных ресурсов Республики Казахстан""","Секатор","1","6000.00","Запрос ценовых предложений","Опубликован","https://goszakup.gov.kz/ru/announce/index/10406076?tab=lots#","61365080-ЗЦП1","2023-07-24 15:35:43","2023-07-31 15:35:50","910640000040","Республиканское государственное учреждение ""Комитет по водным ресурсам Министерства экологии, геологии и природных ресурсов Республики Казахстан""","257310.500.000000","Секатор","садово-огородный, двухстороннего резания","Секатор садово-огородный, двухстороннего резания","За счет бюджетных средств, за исключением средств софинансирования по правительственным внешним займам или связанным грантам","6000","Штука","6 000.00","","","6000","0","431010000, Кызылординская область, г.Кызылорда Кызылординская область, город Кызылорда, ул. Амангельды 107Количество, объем: 1","431010000","Август","DDP, термин употребляется с указанием места прибытия. Он означает, что ответственность продавца заканчивается после того, как товар доставлен в указанное место в стране покупателя. Все риски, все расходы по доставке груза (налоги, пошлины","https://goszakup.gov.kz/ru/announce/index/10406076?tab=lots#",""
"10406017-1 Услуги по проведению энергетического аудита","КГКП ""Ясли-сад ""Шаттык"" отдела образования по Сырдарьинскому району Управления образования Кызылординской области""","Услуги по проведению энергетического аудита","1","150000.00","Запрос ценовых предложений","Опубликован","https://goszakup.gov.kz/ru/announce/index/10406017?tab=lots#","56911810-ЗЦП1","2023-07-25 14:18:57","2023-08-01 14:19:05","150840001353","Коммунальное государственное казенное предприятие ""Ясли-сад ""Шаттык"" отдела образования по Сырдарьинскому району Управления образования Кызылординской области""","749020.000.000070","Услуги по проведению энергетического аудита","Услуги по проведению энергетического аудита","Услуги по проведению энергетического аудита","","150000","Одна услуга","150 000.00","","","150000","0","434845100, Кызылординская область, Сырдарьинский район, с.Когалыколь КАЗАХСТАН, Кызылординская область, Сырдарьинский район, с.Когалыколь, Количество, объем: 1","434845100","После вступления  в силу договора 15 дней","","https://goszakup.gov.kz/ru/announce/index/10406017?tab=lots#",""
"10406149-1 Услуги по техническому контролю (осмотру) дорожных транспортных средств(Кызылорда)","Республиканское государственное казенное предприятие ""Производственное объединение ""Охотзоопром"" Комитета лесного хозяйства и животного мира Министерства экологии и природных ресурсов Республики Казахстан""","Услуги по техническому контролю (осмотру) дорожных транспортных средств (Кызылорда)","2","91071.42","Запрос ценовых предложений","Опубликован","https://goszakup.gov.kz/ru/announce/index/10406149?tab=lots#","62316808","2023-07-24 15:43:30","2023-07-31 15:44:34","930340000221","Республиканское государственное казенное предприятие ""Производственное объединение ""Охотзоопром"" Комитета лесного хозяйства и животного мира Министерства экологии и природных ресурсов Республики Казахстан""","712014.000.000000","Услуги по техническому контролю (осмотру) дорожных транспортных средств","Услуги по техническому контролю (осмотру) дорожных транспортных средств","Кызылорда грузовые","","26785.71","Одна услуга","26 785.71","","","26785.71","0","751910000, г.Алматы, Турксибский район ул. В.Бартольда, 157ВКоличество, объем: 1","751910000","В соответствии со сроками указанными в технической спецификации","","https://goszakup.gov.kz/ru/announce/index/10406149?tab=lots#",""
"10406097-1 Вкладыши шатунные, коренные, Бендикс для стартера","Государственное коммунальное предприятие на праве хозяйственного ведения ""Астана су арнасы"" акимата города Нур-Султан","Шестерня стартера","1","5861.61","Запрос ценовых предложений","Опубликован (прием ценовых предложений)","https://goszakup.gov.kz/ru/announce/index/10406097?tab=lots#","61745255-ЗЦП2","2023-07-24 15:25:00","2023-07-31 15:25:00","000940002622","Государственное коммунальное предприятие на праве хозяйственного ведения ""Астана су арнасы"" акимата города Нур-Султан","281141.500.000081","Вкладыш коренной","для легкового автомобиля","Вкладыши шатунные ДВС Ларгус К4М 00,0 дв. Renault","","6883.93","Комплект","6 883.93","","","6883.93","0","711410000, г.Астана, район Байқоңыр Пр. Абая 103Количество, объем: 1","711410000","15 календарных дней после заключения договора","DDP, термин употребляется с указанием места прибытия. Он означает, что ответственность продавца заканчивается после того, как товар доставлен в указанное место в стране покупателя. Все риски, все расходы по доставке груза (налоги, пошлины","https://goszakup.gov.kz/ru/announce/index/10406097?tab=lots#",""
